Date,Open,High,Low,Close,Volume,Adj Close
2017-04-12,171.039993,171.199997,170.020004,170.660004,3276900,170.660004
2017-04-11,170.649994,171.229996,168.979996,170.580002,4890200,170.580002
2017-04-10,172.529999,172.559998,171.00,171.199997,3715300,171.199997
2017-04-07,172.080002,172.929993,171.279999,172.139999,3556000,172.139999
2017-04-06,173.470001,173.470001,172.25,172.449997,3416100,172.449997
2017-04-05,174.699997,176.330002,172.809998,172.880005,6199500,172.880005
2017-04-04,173.520004,174.960007,173.259995,174.520004,3097400,174.520004
2017-04-03,173.820007,174.869995,173.380005,174.50,4271600,174.50
2017-03-31,173.979996,174.949997,173.690002,174.139999,2911200,174.139999
2017-03-30,173.860001,174.589996,173.690002,173.860001,3153000,173.860001
2017-03-29,174.300003,174.490005,173.460007,173.940002,3039600,173.940002
2017-03-28,173.940002,175.00,173.00,174.509995,3506300,174.509995
2017-03-27,172.690002,174.160004,172.089996,173.770004,3217700,173.770004
2017-03-24,175.119995,175.50,173.389999,173.830002,3178900,173.830002
2017-03-23,174.429993,175.669998,173.559998,174.820007,3615400,174.820007
2017-03-22,174.039993,175.059998,172.800003,174.779999,3426800,174.779999
2017-03-21,176.009995,176.229996,173.839996,173.880005,3883700,173.880005
2017-03-20,175.649994,176.179993,175.139999,175.699997,2334400,175.699997
2017-03-17,176.289993,176.789993,175.649994,175.649994,5843800,175.649994
2017-03-16,178.460007,179.00,176.820007,177.240005,4263800,177.240005
2017-03-15,175.710007,176.279999,174.75,175.809998,3695200,175.809998
2017-03-14,176.179993,176.820007,175.210007,175.720001,3144300,175.720001
2017-03-13,177.850006,178.059998,176.419998,176.460007,3428900,176.460007
