New York Snow Depth, January 2018
"GHCN ID","Station Name",County,Elevation,Latitude,Longitude,"Jan 1","Jan 2","Jan 3","Jan 4","Jan 5","Jan 6","Jan 7","Jan 8","Jan 9"
USC00300023,"ADDISON","STEUBEN",999,-77.23,42.10,2.0,2.0,M,2.0,2.0,M,M,M,M
US1NYAB0023,"ALBANY 0.7 SW","ALBANY",256,-73.81,42.66,3.5,3.5,3.5,3.5,7.0,7.0,6.5,6.0,M
USW00014735,"ALBANY INTL AIRPORT","ALBANY",280,-73.80,42.75,3.1,3.1,3.1,3.1,5.1,5.1,M,M,M
US1NYNS0042,"ALBERTSON 0.2 SSE","NASSAU",142,-73.65,40.77,M,M,M,M,14.5,M,M,M,M
USC00300063,"ALCOVE DAM","ALBANY",607,-73.93,42.47,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,M
USC00300085,"ALFRED","ALLEGANY",1706,-77.76,42.25,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,M
US1NYCT0011,"ALLEGANY 4.7 N","CATTARAUGUS",1667,-78.49,42.16,6.5,7.5,6.5,6.0,6.5,7.5,7.0,6.5,M
USC00300093,"ALLEGANY STATE PARK","CATTARAUGUS",1500,-78.75,42.10,5.0,5.0,6.0,6.0,7.0,9.0,0.0,M,M
US1NYAB0001,"ALTAMONT 2.7 SSW","ALBANY",1460,-74.05,42.67,4.5,4.5,4.5,M,7.0,7.0,6.0,M,M
US1NYER0098,"AMHERST 5.4 NNE","ERIE",580,-78.76,43.05,7.0,8.0,7.5,7.0,8.5,8.5,8.0,8.0,M
USC00300183,"ANGELICA","ALLEGANY",1475,-78.02,42.31,M,6.0,6.0,6.0,6.0,6.0,6.0,6.0,M
US1NYTG0003,"APALACHIN 3.0 ESE","TIOGA",910,-76.12,42.05,M,M,M,M,M,M,M,1.5,M
US1NYWC0018,"ARMONK 0.3 SE","WESTCHESTER",385,-73.71,41.13,2.0,2.0,1.5,3.0,10.0,9.5,6.5,6.0,M
USC00300317,"ATTICA 7 SW","WYOMING",1365,-78.40,42.81,11.0,12.0,10.0,10.0,10.0,9.0,7.0,M,M
USC00300321,"AUBURN","CAYUGA",770,-76.54,42.93,5.0,8.0,6.0,6.0,11.0,12.0,12.0,11.0,M
US1NYCY0008,"AUBURN 8.3 SSE","CAYUGA",1050,-76.49,42.83,3.0,3.5,4.0,3.5,6.0,5.0,4.5,4.0,M
US1NYCY0026,"AURORA 2.4 N","CAYUGA",501,-76.70,42.79,3.5,3.5,3.0,2.5,3.0,M,M,M,M
USC00300331,"AURORA RESEARCH FARM","CAYUGA",830,-76.66,42.73,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,M
US1NYRN0001,"AVERILL PARK 0.9 WNW","RENSSELAER",633,-73.57,42.64,4.0,4.0,4.0,3.5,12.0,11.0,10.5,9.5,M
USC00300343,"AVON","LIVINGSTON",545,-77.76,42.92,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M
USC00300364,"BAITING HOLLOW","SUFFOLK",70,-72.74,40.93,1.0,1.0,1.0,3.0,14.0,13.0,13.0,10.0,M
USC00300379,"BALDWINSVILLE","ONONDAGA",379,-76.33,43.15,M,6.0,6.0,5.0,M,M,M,5.0,M
